rating,name,price,num_cans,oz_per_can,review_text
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I make a fancy bed for my cats with a $40 basket and pillow from a fancy human furniture store.  They go for the free cardboard box with an old towel thrown in it.  I buy them cute toys.  They go for a crumpled up piece of paper.  I buy expensive canned food and Friskies.  They go for Friskies.  Sure, expensive food usually has better ingredients and makes ME feel better about feeding it to my cats.  But will they eat it?  That's a gamble.  But Friskies, yeah, they'll gobble it all up."
3.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I ordered this by mistake.  I STRONGLY prefer pate because it plops out of the can with a few shakes.  This isn't pate.  The cats like it well enough, so in fairness I have to say that, for those who do not hate scraping stinky ooey-gooey cat food out of the can with a spatula or spoon, it's a nice product.  For that reason, I gave it three stars instead of one.  As far as I'm concerned, cat food in gravy is a pain and I can hardly wait to use it up.  In the future, I'll read the text more carefully."
2.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My boys have been getting this product for years! Normally they love it! This last one...well the labels say one thing but the food is the same thing.
Like one said tuna, cheese and it was chicken and corn. They all are chicken and corn. I am not getting this again. I know this can be a ""over sight"" in production. But this isn't the first time. Its just the last time."
2.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"None of our 7 cats will eat this with the big chunks of something similar to cold meat or bologna. We smash it with a fork and they still don't like it. From what I've read concerning feline diets, most do not like big pieces of anything and especially when it's of this texture. I do not recommend this food. So much goes to waste"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"It is a good cat food, but I read it wrong, I guess...as I thought it was Pate as my cats will not eat it, so I have to
put it in my grinder to make it more liquid and add a little of people packaged gravy to it..three times, as they just lick the liquid and leave the solid, they finally get it eaten, but it takes awhile as I have to keep adding my gravy liquid to get it lapped up...it is fine for other cats, but my cats only eat, I should say lick up Pate"
4.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My cats have always loved Friskies wet food, but I was tired of buying a bunch of single cans until I found this. Not only does it come in bulk but it lasts and doesn't leave me running back and forth to the store. My cats also love the flavor, I had never seen it before."
2.0,friskies-tasty-treasures-cheese,12.72,24,5.5,I like to give my older cat different types of soft food cause everyone likes variety. Unfortunately she barely touched this kind. she takes maybe 2 bits and walks away.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cats wont eat any other kind. They prefer this brand wet food and dry good. The shreds are particularly what they like.
3.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I bought this because cats normally like cheese; however, I discovered that my outside cats are not that fond of these flavors.  They do eat it but not like they do other flavors."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,Three feral cats let me cater to them. They all love this food - especially the variety of flavors. Affordable and quite tasty - so they tell me. Thanks Chewy!
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cats love the cheese! Definitely keep this in rotation and I know the kitties look forward to any/all of the cheese varieties.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"This brand with the variety, Oliver seems to like.  But he's 18yrs old and he can get fuzzy.  I just have to figure him out every 2-3 months. His treats he loves.  
Your service people are wonderful. They try to suggest other thing for Oliver.  Your staff is well trained."
4.0,friskies-tasty-treasures-cheese,12.72,24,5.5,This is a good deal and my cats love the food. It is easy to order and gets delivered to your door. Very convenient.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Honestly, my cats love this food. They can be picky (I have four cats, each with their own strong personality and tastes), but all of ‘em like this cheesy food. It’s a winner."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My kitty loves this food, and all the rest of the food I Purchased. She gets so excited when she knows it time to eat. I will continue to buy all my cat items from Chewy! The Customer Service is also great. I will Definately be back. Thank You!!"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"When I inherited my cat from my mom she always claimed Roxy loves the kind of Friskies with cheese.  Sometimes it's not at the stores, so it's nice I can always get it from Chewy.  She does love her cheese."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My cats love it! They've been turning their noses up at almost everything I buy, but they love every flavor of this variety pack."
1.0,friskies-tasty-treasures-cheese,12.72,24,5.5,We are brand new at owner’s and our 1.5 year oldcat doesn’t like this foodat all. Our first purchase was afood with Tiny in the name and she seemed to like it better. We are just trying to decide what works best for her with her dry food. We think it’s a texture thing. This food is like stringy beef and the other is a pate. Just thought I’d share with others.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Our cats prefer this flavor above all others. Good price. Good value, good quality 
 I just reordered. Csnt get it in my town"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My kitties love this food .. I buy the large variety pack I mix it with some Friskies dry  Indoor Delights and they always clean their plate !
4.0,friskies-tasty-treasures-cheese,12.72,24,5.5,So hard to find moist food for all my picky 10. But I have reordered this 3 times so it's working. Wish it was one of the healthier recipes but guess that's why they all like it.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My two picky cats eat these flavors right up! One cat weighs 18 pounds and is a hungry boy! I'm glad to have found something he likes!
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Cats love it. Order came the next day! Cost about the same as in the store, but I didn't have to go get it."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,Our cats love this combination of flavors. It gives them some variety in their diet.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,I feed feral’s in our area. They love this mix of Friskies Treasures with cheese.
3.0,friskies-tasty-treasures-cheese,12.72,24,5.5,Being a Friskies brand I just knew my cat's would like it but they would take a couple of licks and walk away. Wasted most of the case.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,He is really enjoying this selection of Friskies. I think he really likes the cheese bits.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My cat loves the Friskies Tasty Treasures and I love the low price and FAST shipping!  Thanks, Chewy!!"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I have never seen both my cats act so eager to eat their food! Just as in the picture in the box, the younger one stands up on her hind feet and once jumped up on the countertop in her eagerness to start eating this!! They eat all the different versions in the case I bought, so I am buying more, lol!!"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,Just like people most cats like a variety of flavors and meats. This variety pack has a great selection of meats that also includes cheese so it really fills the requirements of what my cats love to eat.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My crew really like these flavors.   Would highly recommend and hope that your babies do to!
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cat eats dry food throughout the day but gets wet food in the morning. Love the convenience
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,I used this food to wean a stray kitten off the bottle. He was having trouble chewing and wouldn't even eat hard food softened with milk. He is about 7 months old now and absolutely loves his Tasty Treasures.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cat loves having a bit added to her dry food and “reminds” me if I haven’t given her enough!
1.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Most of the time my cats like this food. This recent order of two cases of 24, they did not eat. They would smell it and walk away. Not even a taste. I thought it was that my cats were being picky, but the colony I help with didn’t eat it either. I threw out whole plates of food. 
Not ok"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"My cats seem to like this better, and even the dogs beg for can when cats are finished!"
4.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cat usually likes these but occasionally she leaves the turkey ones untouched.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,A female stray adopted our family and gave birth to 3 lovely kittens. At  8 weeks the food is soft enough to assist mom.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cats have tried every canfood on the market.. We always go backtothis.. They literally leave the others behind in the dish.. Will not eat any but these.. I have these they beg and beg for more..
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My 6 cats loves tasty treasures with cheese. They like verity. I made a good choice.
4.0,friskies-tasty-treasures-cheese,12.72,24,5.5,The cats enjoy each dinner time because of this food! Louie would eat every morsel if he did not have to share with big brother Jasper
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,they are obsessed with these. they love the cheese bits are not so into pate anymore.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My fussy kitty will sniff and walk away from almost every canned food. Give hi Friskies Tasty Treasures and he will eat the entire can.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,I have two cats who absolutely love this food. I plan to continue getting them this food.
1.0,friskies-tasty-treasures-cheese,12.72,24,5.5,They will not eat this food  only like Pate.  It is my mistake I was in a hurry should have read the ad.
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"We tried this variety for the first time, and our cats like it very much!"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Our cats LOVE this food! Its like candy, they clean their plates, so to speak lol"
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,Dylan loves his tasty treasures cat food.  Loves when his box arrives and plays with the box for hours. Dylan knows that when this package comes it is for him. Hooray for Chewy.com!!!
2.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I was very disappointed. The box of canned cat food was open,cans were all over in the package. The cans were all damaged, some really badly damaged. Looks like someone dropped the case and then just threw it in the shipping box."
2.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"I got these because my cats (4 of them) like the gravy and cheese it the product, but when I opened the box, some of the cans were damaged. some bent up and mishandled. now i cant always blame Chew for this, sometimes you got to lay the blame in the postal service. it is just my cats wont eat out of a can that has been dented or cracked open, I guess they can smell that it is bad and they try to cover it like it was laying in the cat litter box. From now on I will stick to the other can foods I ordered before, they seem to get here Undamaged."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My three cats love the cheese variety pack Friskies! I have not been able to find this in my area.
1.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Out of the 24 cans, which arrived very quickly, more than half were dented.  Dont know if the denting affected the food inside, but my cat, Max, would not eat it.  I tried all three flavors, but no go.  He stuck his nose up at every one!  

I like to shop at Chewy, and I would not give you a bad rating, but you really should look at the condition of the cans.  Maybe it’s just my cat being fussy, but he usually eats everything else.  Maybe change your supplier."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,"Our three cats love cheese and they love these cans full of little cheese bits.  One of our cats actually checks each food dish served and when she sees some chesse bits in her food, she gives a look of happy satisfaction."
5.0,friskies-tasty-treasures-cheese,12.72,24,5.5,My cats love this food with the Cheese added. They love all the different flavors. Their fur is so shiny.
