product,brand,price,oz_per_can,num_cans,price_per_oz,ingredients
Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food,Newman's Own,$33.05,5.5,24.0,0.25037878787878787,"['Organic Turkey', ' Organic Poultry Broth', ' Organic Turkey Liver', ' Organic Yeast Extract', ' Calcium Carbonate', ' Dicalcium Phosphate', ' Potassium Chloride', ' Organic Guar Gum', ' Carrageenan', ' Choline Chloride', ' Taurine', ' Salt', ' Magnesium Proteinate', ' Zinc Proteinate', ' Iron Proteinate', ' Niacin Supplement', ' Vitamin E Supplement', ' Copper Proteinate', ' Sodium Selenite', ' Thiamine Mononitrate', ' Manganese Proteinate', ' Vitamin A Supplement', ' Calcium Pantothenate', ' Riboflavin Supplement', ' Pyridoxine Hydrochloride', ' Biotin', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Ethylenediamine Dihydroiodide', ' Folic Acid.']"
Sheba Perfect Portions Grain-Free Tender Turkey Cuts in Gravy Entree Cat Food Trays,Sheba,$19.20,2.6,24.0,0.30769230769230765,"['Turkey Broth', ' Turkey', ' Chicken', ' Chicken Liver', ' Meat By-Products', ' Tapioca Starch', ' Poultry By-Products', ' Natural Flavor', ' Minerals (Potassium Chloride', ' Magnesium Sulfate', ' Zinc Sulfate', ' Iron Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Copper Sulfate)', ' Added Color', ' Fish Oil (Preserved With Mixed Tocopherols)', ' Sodium Tripolyphosphate', ' Xanthan Gum', ' Vitamins (Choline Chloride', ' Thiamine Mononitrate [Vitamin B1]', ' Vitamin E Supplement', ' Pyridoxine Hydrochloride [Vitamin B6]', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex [Source Of Vitamin K Activity])', ' Salt', ' Taurine', ' Dl-Methionine.']"
Wellness CORE Natural Grain Free Turkey & Chicken Liver Pate Canned Kitten Food,Wellness,$20.40,3.0,12.0,0.5666666666666667,"['Turkey', ' Chicken Liver', ' Turkey Broth', ' Chicken', ' Chicken Meal', ' Herring', ' Natural Flavor', ' Cranberries', ' Menhaden Fish Oil (preserved with Mixed Tocopherols)', ' Guar Gum', ' Tricalcium Phosphate', ' Ground Flaxseed', ' Potassium Chloride', ' Choline Chloride', ' Taurine', ' Cassia Gum', ' Xanthan Gum', ' Dried Kelp', ' Chicory Root Extract', ' Yucca Schidigera Extract', ' Alfalfa Meal', ' Salt', ' Magnesium Sulfate', ' Iron Proteinate', ' Zinc Proteinate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Copper Proteinate', ' Manganese Proteinate', ' Sodium Selenite', ' Niacin', ' d-Calcium Pantothenate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin A Supplement', ' Biotin', ' Potassium Iodide', ' Vitamin D3 Supplement', ' Vitamin B12 Supplement', ' Folic Acid', ' Rosemary Extract.']"
Merrick Purrfect Bistro Grain-Free Thanksgiving Day Dinner Minced in Gravy Canned Cat Food,Merrick,$38.66,5.5,24.0,0.29287878787878785,"['Deboned Turkey', 'Turkey Broth', ' Deboned Chicken', ' Deboned Duck', ' Chicken Liver', ' Peas', ' Dried Egg Product', ' Natural Flavor', ' Dried Potato', ' Sweet Potato', ' Carrots', ' Cranberries', ' Organic Alfalfa', ' Calcium Carbonate', ' Salt', ' Potassium Chloride', ' Carrageenan', ' Cassia Gum', ' Guar Gum', ' Powdered Cellulose', ' Sodium Phosphate', ' Salmon Oil', ' Minerals (Zinc Amino Acid Complex', ' Iron Amino Acid Complex', ' Manganese Amino Acid Complex', ' Copper Amino Acid Complex', ' Potassium Iodide', ' Cobalt Glucoheptonate', ' Sodium Selenite). Vitamins (Vitamin E Supplement', ' Vitamin B12 Supplement', ' d-Calcium Pantothenate', ' Vitamin A Supplement', ' Niacin', ' Vitamin D3 Supplement', ' Riboavin Supplement', ' Pyridoxine Hydrochloride', ' Folic Acid', ' Biotin', ' Thiamine Mononitrate)', ' Taurine', ' Choline Chloride', ' Thyme', ' Sage', ' Rosemary', ' Yucca Schidigera Extract.']"
Purina Pro Plan Savor Classic Chicken Grain-Free Kitten Entree Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Chicken', ' Liver', ' Water Sufficient For Processing', ' Meat By-Products', ' Fish', ' Artificial And Natural Flavors', ' Guar Gum', ' Minerals [Potassium Chloride', ' Magnesium Sulfate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganese Sulfate', ' Potassium Iodide]', ' Tricalcium Phosphate', ' Taurine', ' Choline Chloride', ' Salt', ' Vitamins [Vitamin E Supplement', ' Thiamine Mononitrate (Vitamin B-1)', ' Niacin (Vitamin B-3)', ' Calcium Pantothenate (Vitamin B-5)', ' Vitamin A Supplement', ' Menadione Sodium Bisulfite Complex (Vitamin K)', ' Pyridoxine Hydrochloride (Vitamin B-6)', ' Riboflavin Supplement (Vitamin B-2)', ' Vitamin B-12 Supplement', ' Biotin (Vitamin B-7)', ' Folic Acid (Vitamin B-9)', ' Vitamin D-3 Supplement]. A-4715']"
Fancy Feast Medleys Tastemakers Whitefish & Shrimp Recipe Canned Cat Food,Fancy Feast,$20.16,3.0,24.0,0.28,"['Fish Broth', ' Whitefish', ' Wheat Gluten', ' Liver', ' Long Grain Rice', ' Meat By-Products', ' Spinach', ' Corn Starch-Modified', ' Chicken', ' Shrimp', ' Artificial and Natural Flavors', ' Corn Oil', ' Salt', ' Tricalcium Phosphate', ' Added Color', ' Soy Protein Concentrate', ' Potassium Chloride', ' Taurine', ' Choline Chloride', ' Magnesium Sulfate', ' Thiamine Mononitrate', ' Vitamin E Supplement', ' Zinc Sulfate', ' Red 3', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Copper Sulfate', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B-12 Supplement', ' Biotin', ' Folic Acid', ' Vitamin D-3 Supplement', ' Potassium Iodide. B-6762.']"
Crave Chicken Pate Grain-Free Cat Food Trays,Crave,$6.48,2.6,6.0,0.41538461538461535,"['Chicken', ' Chicken Liver', ' Pork Broth', ' Chicken Broth', ' Chicken Heart', ' Natural Flavor', ' Guar Gum', ' Potassium Chloride', ' Fish Oil (preserved with Mixed Tocopherols)', ' Carrageenan', ' Sodium Acid Pyrophosphate', ' Calcium Carbonate', ' Dried Tomatoes', ' Tetrasodium Pyrophosphate', ' Tapioca Starch', ' Salt', ' Choline Chloride', ' Magnesium Sulfate', ' Sodium Hexametaphosphate', ' Taurine', ' Thiamine Mononitrate (Vitamin B1)', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Copper Sulfate', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex (source of Vitamin K Activity).']"
Earthborn Holistic Ranch House Stew Grain-Free Natural Canned Cat & Kitten Food,Earthborn Holistic,$38.16,5.5,24.0,0.28909090909090907,"['Beef Broth', ' Beef', ' Dried Egg Product', ' Chicken', ' Pumpkins', ' Potatoes', ' Carrots', ' Natural Flavors', ' Tuna', ' Tricalcium Phosphate', ' Salt', ' Guar Gum', ' Potassium Chloride', ' Magnesium Sulfate', ' Taurine', ' Choline Chloride', ' Iron Proteinate', ' Vitamin E Supplement', ' Zinc Proteinate', ' Thiamine Mononitrate', ' Niacin', ' Vitamin A Supplement', ' Manganese Proteinate', ' Copper Proteinate', ' Pyridoxine Hydrochloride', ' Sodium Selenite', ' Calcium Pantothenate', ' Riboflavin Supplement', ' Folic Acid', ' Vitamin B12 Supplement', ' Vitamin D3 Supplement', ' Biotin', ' Potassium Iodide.']"
Royal Canin Digest Sensitive Chunks in Gravy Adult Cat Food Pouches,Royal Canin,$18.25,3.0,12.0,0.5069444444444444,"['Water Sufficient For Processing', ' Chicken By-Products', ' Pork By-Products', ' Chicken', ' Pork Liver', ' Wheat Flour', ' Pork Digest', ' Pork Plasma', ' Powdered Cellulose', ' Wheat Gluten', ' Natural Flavors', ' Sodium Silico Aluminate', ' Sodium Tripolyphosphate', ' Potassium Chloride', ' Calcium Sulfate', ' Taurine', ' Carob Bean Gum', ' Choline Chloride', ' Caramel', ' Vitamins [Cholecalciferol (Source Of Vitamin D3)', ' DL-Alpha Tocopherol Acetate (Source Of Vitamin E)', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement', ' Riboflavin Supplement', ' D-Calcium Pantothenate', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Biotin', ' Folic Acid', ' Vitamin B12 Supplement]', ' Sodium Carbonate', ' Trace Minerals [Zinc Sulfate', ' Ferrous Sulfate', ' Copper Sulfate', ' Zinc Proteinate', ' Calcium Iodate', ' Copper Proteinate', ' Manganese Proteinate', ' Manganese Sulfate].']"
Nutro Perfect Portions Grain-Free Salmon & Tuna Recipe Cat Food Trays,Nutro,$30.48,2.6,24.0,0.48846153846153845,"['Salmon', ' Chicken', ' Chicken Broth', ' Chicken Liver', ' Tuna', ' Pork Broth', ' Natural Flavors', ' Guar Gum', ' Minerals (Potassium Chloride', ' Magnesium Sulfate', ' Calcium Carbonate', ' Zinc Sulfate', ' Iron Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Copper Sulfate)', ' Sodium Phosphate', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Carrageenan', ' Vitamins (Choline Chloride', ' Thiamine Mononitrate [Vitamin B1]', ' Vitamin E Supplement', ' Pyridoxine Hydrochloride [Vitamin B6]', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex [Source of Vitamin K Activity])', ' Salt', ' Taurine.']"
Purina Pro Plan Prime Plus 7+ Classic Chicken Grain-Free Entree Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Chicken', ' Liver', ' Water Sufficient For Processing', ' Meat By-Products', ' Chicory Root', ' Soybean Oil', '\nEssential Nutrients And Other Ingredients: Minerals (Tricalcium Phosphate', ' Salt', ' Potassium Chloride', ' Magnesium Sulfate', ' Mono And Dicalcium Phosphate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganese Sulfate', ' Potassium Iodide)', ' Fish Oil', ' Artificial And Natural Flavors', ' Guar Gum', ' Vitamins (Vitamin E', ' Vitamin C', ' Choline', ' Vitamin B-1', ' Vitamin B-3', ' Vitamin B-5', ' Vitamin A', ' Vitamin K', ' Vitamin B-6', ' Vitamin B-2', ' Vitamin B-12', ' Vitamin B-7', ' Folic Acid', ' Vitamin D-3)', ' Taurine', ' Amino Acids (Dl-Methionine)', ' Beta-Carotene. A475118']"
Nutro Adult Chunky Loaf  Salmon & Tuna Dinner Grain-Free Canned Cat Food,Nutro,$25.68,3.0,24.0,0.3566666666666667,"['Salmon', ' Chicken Broth', ' Chicken Liver', ' Chicken', ' Tuna', ' Pork Broth', ' Natural Flavors', ' Guar Gum', ' Sodium Phosphate', ' Minerals (Potassium Chloride', ' Magnesium Sulfate', ' Zinc Sulfate', ' Ferrous Sulfate', ' Manganese Sulfate', ' Potassium Iodide', ' Copper Sulfate)', ' Fish Oil (Preserved with Mixed Tocopherols)', ' Carrageenan', ' Vitamins (Choline Chloride', ' Thiamine Mononitrate [Vitamin B1]', ' Vitamin E Supplement', ' Pyridoxine Hydrochloride [Vitamin B6]', ' Vitamin D3 Supplement', ' Folic Acid', ' Menadione Sodium Bisulfite Complex [Source of Vitamin K Activity])', ' Salt', ' Taurine.']"
Purina Pro Plan Savor Chicken  Tuna & Wild Rice Entree in Sauce Canned Cat Food,Purina Pro Plan,$23.28,3.0,24.0,0.32333333333333336,"['Water Sufficient for Processing', ' Chicken', ' Wheat Gluten', ' Liver', ' Tuna', ' Meat By Products', ' Wild Rice', ' Corn Starch Modified', ' Artificial and Natural Flavors', ' Salt', ' Soy Protein Concentrate', ' Tricalcium Phosphate', ' Potassium Chloride', ' Added Color', ' Taurine', ' Choline Chloride', ' Vitamin E Supplement', ' Zinc Sulfate', ' Ferrous Sulfate', ' Niacin', ' Calcium Pantothenate', ' Vitamin A Supplement', ' Thiamine Mononitrate', ' Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity)', ' Copper Sulfate', ' Manganese Sulfate', ' Pyridoxine Hydrochloride', ' Riboflavin Supplement', ' Vitamin B 12 Supplement', ' Folic Acid', ' Vitamin D 3 Supplement', ' and Potassium Iodide.']"
Royal Canin Veterinary Diet Calorie Control Canned Cat Food,Royal Canin Veterinary Diet,$42.74,5.8,24.0,0.3070402298850575,"['Water Sufficient for Processing', ' Pork By-Products', ' Chicken Liver', ' Wheat Gluten', ' Powdered Cellulose', ' Guar Gum', ' Carrageenan', ' Calcium Carbonate', ' Potassium Phosphate', ' Natural Flavors', ' Calcium Sulfate', ' Fish Oil', ' Taurine', ' Vitamins [Dl-Alpha Tocopherol Acetate (Source of Vitamin E)', ' L-Ascorbyl-2-Polyphosphate (Source of Vitamin C)', ' Thiamine Mononitrate (Vitamin B1)', ' Niacin Supplement', ' Biotin', ' D-Calcium Pantothenate', ' Riboflavin Supplement (Vitamin B2)', ' Pyridoxine Hydrochloride (Vitamin B6)', ' Vitamin B12 Supplement', ' Folic Acid', ' Vitamin D3 Supplement]', ' L-Carnitine', ' Trace Minerals [Zinc Proteinate', ' Zinc Oxide', ' Ferrous Sulfate', ' Copper Sulfate', ' Manganous Oxide', ' Sodium Selenite', ' Calcium Iodate]', ' Glucosamine Hydrochloride', ' Marigold Extract (Tagetes Erecta L.)', ' Chondroitin Sulfate.']"
