product,brand,price,oz_per_can,num_cans,price_per_oz
"Fancy Feast Grilled Seafood Feast Variety Pack Canned Cat Food, 3-oz, case of 24",Fancy Feast,$14.79,3.0,24.0,0.20541666666666666
"Friskies Shreds Variety Pack Canned Cat Food, 5.5-oz, case of 32",Friskies,$16.64,5.5,32.0,0.09454545454545454
"Friskies Classic Pate Variety Pack Canned Cat Food, 5.5-oz, case of 24",Friskies,$13.89,5.5,24.0,0.10522727272727272
"Fancy Feast Gravy Lovers Poultry & Beef Feast Variety Pack Canned Cat Food, 3-oz, case of 24",Fancy Feast,$14.40,3.0,24.0,0.2
"Friskies Tasty Treasures with Cheese Variety Pack Canned Cat Food, 5.5-oz, case of 24",Friskies,$12.72,5.5,24.0,0.09636363636363637
"Fancy Feast Poultry & Beef Classic Pate Variety Pack Canned Cat Food, 3-oz, case of 24",Fancy Feast,$13.21,3.0,24.0,0.18347222222222223
"Friskies Classic Pate Seafood Variety Pack Canned Cat Food, 5.5-oz, case of 32",Friskies,$16.64,5.5,32.0,0.09454545454545454
"Royal Canin Veterinary Diet Urinary SO in Gel Canned Cat Food, 5.8-oz, case of 24",Royal Canin Veterinary Diet,$49.39,5.8,24.0,0.35481321839080465
"Fancy Feast Classic Seafood Feast Variety Pack Canned Cat Food, 3-oz, case of 24",Fancy Feast,$14.88,3.0,24.0,0.20666666666666667
"Fancy Feast Classic Poultry & Beef Feast Variety Pack Canned Cat Food, 3-oz, case of 30",Fancy Feast,$17.64,3.0,30.0,0.196
"Friskies Extra Gravy Chunky Variety Pack Canned Cat Food, 5.5-oz, case of 24",Friskies,$12.72,5.5,24.0,0.09636363636363637
"Fancy Feast Medleys Primavera Collection Variety Pack Canned Cat Food, 3-oz, case of 12",Fancy Feast,$9.96,3.0,12.0,0.27666666666666667
"Friskies Poultry Variety Pack Canned Cat Food, 5.5-oz, case of 32",Friskies,$16.64,5.5,32.0,0.09454545454545454
"Fancy Feast Classic Chicken Feast Canned Cat Food, 3-oz, case of 24",Fancy Feast,$14.99,3.0,24.0,0.20819444444444446
"Royal Canin Veterinary Diet Urinary SO Morsels in Gravy Canned Cat Food, 3-oz, case of 24",Royal Canin Veterinary Diet,$36.09,3.0,24.0,0.5012500000000001
