product,review_author,rating,review_text,helpful_rank
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Rose,5,"This brand has all the ingredients I was looking for with no veggies, grain or soy.  My cat loved it the first time I put it out, however, then she didn't really want to eat it. She is definitely spoiled, so when I left it out for her and she knew mommy wasn't going to give in, she continued to eat it.  I want to give her a brand that is good for her, so if it means waiting a while before she eats, we will wait. I'm always reading the nutritional ingredients in wet cat food and it's difficult to find a brand that doesn't have grain, soy, veggies or any fillers.  I would definitely recommend Newman's Own Turkey & Liver and will continue to encourage my cat to eat it.  Thanks,",0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",TarzanJane,5,"Lily, my Siamese enjoys this food. I mix it with Organic human Chicken, semi raw. I've tried other Organic wet foods, she won't eat them. The Turkey and Liver has a aroma that smells like fresh liver, so kitty is attracted. The Pate with some juice is a nice consistency easy to eat.",0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Jules,3,"Several cans were dented, so didn’t want to take the chance of serving them,I have photos of the package and cans, this happened with another brand as well. My cat took some time to warm up to this new brand, but seems to be getting used to it. Glad there are organic options",0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",nmcraven,4,"It would get 5 stars but there are three things that stop it. It smells a little too much like the cheaper canned cat food brands, it's not non-GMO and the cans are not completely filled. Otherwise, my cats like it and I hope to NEVER find foreign objects in these cans of food like I did with Oranix and Whole Earth Farms.",0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",CherylB,4,I wish they would take the carrageenan out of their food. It’s on a list of things not recommended for cats. I’ll be looking for something else.,0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",maro,5,"I use to purchase another brand of organic cat food and my cats liked it but it was never consistent one can would be moist and the next can chalky sometimes the cans had chunks of green stuff in them so I figured it was a time for a change. I'm really glad I switched over to Newman's Own, it's not smelly like the other brand and it's alway moist plus the can rinses clean with just a little water the other brand I had to use a scrub brush to get the can clean for recycling. I definitely recommend this brand if you love your little furry friends enough to feed them the very best.",1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",DarZ,5,"I like that this food is organic, profits benefit non-profit charities, that my cats Love it!, that the nutrition seems to be good for a canned food and smells good. I also feed some commercial raw food and add probiotics. Kitties are doing good on this so far.",1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",RoanRider,5,"I was feeding a different food, and I believe that the formula changed, as it looked and smelled different. My Cornish Rex boys, who are voracious eaters, suddenly went off their feed. A friend suggested this brand, and my boys are eating it right up. Glad to find a healthy food that they enjoy.",1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",wemale,4,I have 3 cats and they eat this slowly with some coaxing. It is easy to get out of the can and has a nice texture.,1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",lovecats,5,My cats love Newman's Own cat food. I have tried many different foods and seem to be pleased with Newman's Own.,0
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Sunny2014,5,My cat loves this product...Great cat food!!!!!!!!! Will buy again!! Great company!! Great service!!,2
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Jenny42,5,I chose Newman's Own because it's mainly organic; I don't want my cat to eat factory-farmed food. You also have the option of grain-free food.,5
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Melo51,5,"I have a 31 year old cat, yes 31. Munchie is VERY picky and she loves this food and is doing better than she has in years. I am so glad I found it.",21
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",piddypoop2,5,5 weeks ago I adopted a 6 year old cat. She has been hounding me non stop for food. The people I adopted her from fed her dry food and fancy feast. I stopped the dry food (it was cheap and toxic) and feed her the FF. She was never satisfied. I tried this food and it was crystal clear that she was full and satisfied with only a third of a 5.5 oz can 3 times a day. She stopped bugging me all day and night! Good stuff!,16
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",rugger4,5,Some kitten flavors she doesn't like but she is on this and loves it. She has hyper thyroid.,8
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Wendyzd1,5,"I could go on and on about how great this food is. Truly certified organic ingredients, and the manufacturing plant as well. Naturally preserved with antioxidants -Vitamins (mixed tocopherols). I like that ""All Newman's Own Organics' ingredients are tested to be free of any chemical preservatives, such as BHA, BHT, and ethoxyquin."" Also in going organic, it is very supportive to the environment. Given that when growing organic there is no use of herbicides and pesticides, and the crops are rotated. That also means that all of that gunk isn't ending up inside my cats! I also love that they do not use any GMO's (Genetically modified ingredients). One more big thing is that this food is a completely",6
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",BJJ2015,5,Good product my cat loves it. Clean product good for your animal.,2
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Skrapmommy,5,I have 6 cats and this is definitely one of their favorite flavors! As a bonus...since I started feeding them Newman's Organic...the puking and nasty smelling poo is a thing of the past! It matters what you feed your animals...and Newman's Organics is the best!,2
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",AliGirl,5,"My 10 year old cat Emma has a lot of food sensitivities. I've been feeding her this brand for over 2 years now, and recently switched to the turkey from chicken. She loves the taste and hasn't had any digestive upset from it. It has also made her coat very full and shiny. A little goes a long way!",4
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Eamidon,5,"So far, this has been, obviously, the tastiest of healthy wet cat foods for my spoiled rotten brother and sister cats, Mango and Fig. They are picky picky!",1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Dee310,5,"So happy to find this food available again. I have one grain intolerant cat and one allergic to chicken. Had to use a different cat food when I couldn't find this and it had rice and egg product in it. One cat had diarrhea ant the other one was throwing up. This food is fantastic! Smells like human food and my cats go nuts as soon as can is opened. They goble it down. Highly recommend it, worth the extra money as no food is ever wasted.",5
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Lee29,5,My cat loves this food. The luster of his silky fur tell's me that what he's eating is great for him. He 13 year old and never has been sick. I attribute that to his diet. He always eaten organic,2
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",TIGER1,5,"Fast shipment was very efficient and on time.
Thank you.",3
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",Jager,2,Kittens like it...I limit their amount to 1-2 Tbls...gives them water stool.,1
"Newman's Own Organic Grain-Free 95% Turkey & Liver Dinner Canned Cat Food, 5.5-oz, case of 24",dawn23,5,"Newman's Grain free is one of the best canned cat food products I've found. Organic high quality ingredients is why I choose it for my 15 yr old cat. It smells so delicious when I open the can. I feel good knowing I'm feeding him a healthy meal, and equally important, my cat LOVES it!",6
